"","x"
"1",-5.83373605305466
"2",4.0039808892713
"3",-0.809478248677736
"4",-3.6729274577112
"5",4.94309129678724
"6",2.16155425927558
"7",2.40159832623265
"8",-1.90849266948862
"9",-1.04271174764902
"10",-9.44543751404454
"11",-5.31052476278779
"12",-5.6724533463716
"13",10.4581244170484
"14",-0.262553363846049
"15",2.93884092395263
"16",0.778807326355342
"17",6.86456099315263
"18",-0.149729156787382
"19",-5.2596469679746
"20",-7.76934023057569
"21",6.31310460069758
"22",-2.55986507584714
"23",1.4361466431797
"24",-0.0677679514960853
"25",-3.26123408800419
"26",2.60436205652006
"27",1.92767490955433
"28",5.11708440622202
"29",-0.867860975247806
"30",-2.84598158172409
"31",-5.55709186658443
"32",-13.6213399549528
"33",-6.41890433718719
"34",3.03103463510303
"35",3.20007005865371
"36",2.43942830796165
"37",-2.20871335553283
"38",-2.67227317293614
"39",-6.21539416724344
"40",-6.66019850659238
"41",0.776389473082643
"42",-0.0327308098164467
"43",5.34768587281009
"44",4.95122463132635
"45",-0.181709050962816
"46",3.50661264847389
"47",3.62430658976414
"48",0.254103389380763
"49",-2.63854027007267
"50",3.96708043709127
"51",-0.0361372948548477
"52",-4.82419654563876
"53",4.90945512630633
"54",1.23290139391125
"55",-0.304814056836705
"56",-4.9086656639815
"57",6.23607199055148
"58",4.79981844186484
"59",-2.87826726402192
"60",5.66309567127985
"61",-1.1120783585994
"62",7.52589937768003
"63",-6.40168605571592
"64",-0.0820210997134481
"65",3.48568854936318
"66",-9.63552337658983
"67",-2.27871729756176
"68",3.28192772336022
"69",1.58171458674395
"70",2.92669312209579
"71",-3.30409371089369
"72",1.33866310896868
"73",-1.86230604060645
"74",0.663548982141009
"75",2.33499462381814
"76",0.247882645970107
"77",-4.37683392719168
"78",6.51721713131607
"79",1.16168625672039
"80",3.39322546685357
"81",-0.558943553058549
"82",-1.60343513442521
"83",-3.07199462571152
"84",1.83577984333591
"85",0.566669652880044
"86",-0.809550780036352
"87",-2.71547437146532
"88",-1.37781766013707
"89",-1.22520389615049
"90",4.55264595695419
"91",1.55998081699774
"92",4.15304888469465
"93",3.7116374418618
"94",-9.49852853323694
"95",10.9181567081277
"96",-6.95924389399794
"97",-0.269696444702125
"98",3.06644835194468
"99",-0.578248276723756
"100",-2.74592158584529
"101",-0.396626421430051
"102",2.12765703918348
"103",-2.36047304644955
"104",-1.9857814311781
"105",-0.174213963182598
"106",1.93172991601206
"107",4.23974553026307
"108",0.699031407722085
"109",-2.92717844112041
"110",-2.0894358082932
"111",2.40459705357344
"112",-1.06479577397172
"113",-3.42963896215566
"114",-0.0634085738678465
"115",-2.42519311158275
"116",-1.6173324669647
"117",-2.1609041491061
"118",2.78461837646913
"119",2.66901884142284
"120",-7.30854363042717
"121",1.52582253066422
"122",-1.42810581954452
"123",2.67159034866499
"124",-0.770308442655948
"125",-2.52552371218649
"126",5.71948222842139
"127",0.0745582290948215
"128",5.33047869963309
"129",3.0042968381135
"130",-0.251253629336976
"131",-4.61293964408135
"132",-3.84436145061567
"133",3.24457421336313
"134",-5.39665449712491
"135",-4.92275341595945
"136",1.06066051608818
"137",-1.59296678615022
"138",-3.47076502703621
"139",-3.5029504063793
"140",1.35266210929249
"141",3.37525675996143
"142",2.94124787140012
"143",-0.150385345322718
"144",-3.91915637446879
"145",1.49376581417734
"146",-0.999637584440244
"147",-2.72109355940157
"148",0.358275530993052
"149",-0.684607666465778
"150",2.92101071075867
"151",-1.57601920058419
"152",3.24712939360321
"153",2.49326367950415
"154",-2.38486893919853
